20231102_232523 - Executing: bun hardhat run scripts/strategies/deployQVSimple.ts --no-compile --network base | tee ./reports/deployment-logs/strategies/deployQVSimple/base/20231102_232427/deploy-20231102_232427.log
20231102_232547 - Deployment finished with 0 error(s)
20231102_232742 - Executing: bun hardhat run scripts/strategies/deployRFPCommittee.ts --no-compile --network mumbai | tee ./reports/deployment-logs/strategies/deployRFPCommittee/mumbai/20231102_232742/deploy-20231102_232742.log
20231102_232829 - Executing: bun hardhat run scripts/strategies/deployRFPCommittee.ts --no-compile --network goerli | tee ./reports/deployment-logs/strategies/deployRFPCommittee/goerli/20231102_232742/deploy-20231102_232742.log
20231102_232926 - Executing: bun hardhat run scripts/strategies/deployRFPCommittee.ts --no-compile --network sepolia | tee ./reports/deployment-logs/strategies/deployRFPCommittee/sepolia/20231102_232742/deploy-20231102_232742.log
20231102_233023 - Executing: bun hardhat run scripts/strategies/deployRFPCommittee.ts --no-compile --network arbitrum-goerli | tee ./reports/deployment-logs/strategies/deployRFPCommittee/arbitrum-goerli/20231102_232742/deploy-20231102_232742.log
20231102_233110 - Executing: bun hardhat run scripts/strategies/deployRFPCommittee.ts --no-compile --network optimism-goerli | tee ./reports/deployment-logs/strategies/deployRFPCommittee/optimism-goerli/20231102_232742/deploy-20231102_232742.log
20231102_233205 - Executing: bun hardhat run scripts/strategies/deployRFPCommittee.ts --no-compile --network base-testnet | tee ./reports/deployment-logs/strategies/deployRFPCommittee/base-testnet/20231102_232742/deploy-20231102_232742.log
20231102_233256 - Executing: bun hardhat run scripts/strategies/deployRFPCommittee.ts --no-compile --network celo-testnet | tee ./reports/deployment-logs/strategies/deployRFPCommittee/celo-testnet/20231102_232742/deploy-20231102_232742.log
20231102_233348 - Executing: bun hardhat run scripts/strategies/deployRFPCommittee.ts --no-compile --network optimism-mainnet | tee ./reports/deployment-logs/strategies/deployRFPCommittee/optimism-mainnet/20231102_232742/deploy-20231102_232742.log
20231102_233446 - Executing: bun hardhat run scripts/strategies/deployRFPCommittee.ts --no-compile --network celo-mainnet | tee ./reports/deployment-logs/strategies/deployRFPCommittee/celo-mainnet/20231102_232742/deploy-20231102_232742.log
20231102_233530 - Executing: bun hardhat run scripts/strategies/deployRFPCommittee.ts --no-compile --network arbitrum-mainnet | tee ./reports/deployment-logs/strategies/deployRFPCommittee/arbitrum-mainnet/20231102_232742/deploy-20231102_232742.log
